Outcome,Probability
HHHHHHTTH,0.001953
TTTTTTHTH,0.001953
HTTTTTHTH,0.001953
THTTTTHTH,0.001953
HHTTTTHTH,0.001953
TTHTTTHTH,0.001953
HTHTTTHTH,0.001953
THHTTTHTH,0.001953
HHHTTTHTH,0.001953
TTTHTTHTH,0.001953
HTTHTTHTH,0.001953
THTHTTHTH,0.001953
HHTHTTHTH,0.001953
TTHHTTHTH,0.001953
HTHHTTHTH,0.001953
THHHTTHTH,0.001953
HHHHTTHTH,0.001953
TTTTHTHTH,0.001953
HTTTHTHTH,0.001953
THTTHTHTH,0.001953
HHTTHTHTH,0.001953
TTHTHTHTH,0.001953
HTHTHTHTH,0.001953
THHTHTHTH,0.001953
HHHTHTHTH,0.001953
TTTHHTHTH,0.001953
HTTHHTHTH,0.001953
THTHHTHTH,0.001953
HHTHHTHTH,0.001953
TTHHHTHTH,0.001953
HTHHHTHTH,0.001953
THHHHTHTH,0.001953
HHHHHTHTH,0.001953
TTTTTHHTH,0.001953
HTTTTHHTH,0.001953
THTTTHHTH,0.001953
HHTTTHHTH,0.001953
TTHTTHHTH,0.001953
HTHTTHHTH,0.001953
THHTTHHTH,0.001953
HHHTTHHTH,0.001953
TTTHTHHTH,0.001953
HTTHTHHTH,0.001953
THTHTHHTH,0.001953
HHTHTHHTH,0.001953
TTHHTHHTH,0.001953
HTHHTHHTH,0.001953
THHHTHHTH,0.001953
HHHHTHHTH,0.001953
TTTTHHHTH,0.001953
HTTTHHHTH,0.001953
THTTHHHTH,0.001953
HHTTHHHTH,0.001953
TTHTHHHTH,0.001953
HTHTHHHTH,0.001953
THHTHHHTH,0.001953
HHHTHHHTH,0.001953
TTTHHHHTH,0.001953
HTTHHHHTH,0.001953
THTHHHHTH,0.001953
HHTHHHHTH,0.001953
TTHHHHHTH,0.001953
HTHHHHHTH,0.001953
THHHHHHTH,0.001953
HHHHHHHTH,0.001953
TTTTTTTHH,0.001953
HTTTTTTHH,0.001953
THTTTTTHH,0.001953
HHTTTTTHH,0.001953
TTHTTTTHH,0.001953
HTHTTTTHH,0.001953
THHTTTTHH,0.001953
HHHTTTTHH,0.001953
TTTHTTTHH,0.001953
HTTHTTTHH,0.001953
THTHTTTHH,0.001953
HHTHTTTHH,0.001953
TTHHTTTHH,0.001953
HTHHTTTHH,0.001953
THHHTTTHH,0.001953
HHHHTTTHH,0.001953
TTTTHTTHH,0.001953
HTTTHTTHH,0.001953
THTTHTTHH,0.001953
HHTTHTTHH,0.001953
TTHTHTTHH,0.001953
HTHTHTTHH,0.001953
THHTHTTHH,0.001953
HHHTHTTHH,0.001953
TTTHHTTHH,0.001953
HTTHHTTHH,0.001953
THTHHTTHH,0.001953
HHTHHTTHH,0.001953
TTHHHTTHH,0.001953
HTHHHTTHH,0.001953
THHHHTTHH,0.001953
HHHHHTTHH,0.001953
TTTTTHTHH,0.001953
HTTTTHTHH,0.001953
THTTTHTHH,0.001953
HHTTTHTHH,0.001953
TTHTTHTHH,0.001953
HTHTTHTHH,0.001953
THHTTHTHH,0.001953
HHHTTHTHH,0.001953
TTTHTHTHH,0.001953
HTTHTHTHH,0.001953
THTHTHTHH,0.001953
HHTHTHTHH,0.001953
TTHHTHTHH,0.001953
HTHHTHTHH,0.001953
THHHTHTHH,0.001953
HHHHTHTHH,0.001953
TTTTHHTHH,0.001953
HTTTHHTHH,0.001953
THTTHHTHH,0.001953
HHTTHHTHH,0.001953
TTHTHHTHH,0.001953
HTHTHHTHH,0.001953
THHTHHTHH,0.001953
HHHTHHTHH,0.001953
TTTHHHTHH,0.001953
HTTHHHTHH,0.001953
THTHHHTHH,0.001953
HHTHHHTHH,0.001953
TTHHHHTHH,0.001953
HTHHHHTHH,0.001953
THHHHHTHH,0.001953
HHHHHHTHH,0.001953
TTTTTTHHH,0.001953
HTTTTTHHH,0.001953
THTTTTHHH,0.001953
HHTTTTHHH,0.001953
TTHTTTHHH,0.001953
HTHTTTHHH,0.001953
THHTTTHHH,0.001953
HHHTTTHHH,0.001953
TTTHTTHHH,0.001953
HTTHTTHHH,0.001953
THTHTTHHH,0.001953
HHTHTTHHH,0.001953
TTHHTTHHH,0.001953
HTHHTTHHH,0.001953
THHHTTHHH,0.001953
HHHHTTHHH,0.001953
TTTTHTHHH,0.001953
HTTTHTHHH,0.001953
THTTHTHHH,0.001953
HHTTHTHHH,0.001953
TTHTHTHHH,0.001953
HTHTHTHHH,0.001953
THHTHTHHH,0.001953
HHHTHTHHH,0.001953
TTTHHTHHH,0.001953
HTTHHTHHH,0.001953
THTHHTHHH,0.001953
HHTHHTHHH,0.001953
TTHHHTHHH,0.001953
HTHHHTHHH,0.001953
THHHHTHHH,0.001953
HHHHHTHHH,0.001953
TTTTTHHHH,0.001953
HTTTTHHHH,0.001953
THTTTHHHH,0.001953
HHTTTHHHH,0.001953
TTHTTHHHH,0.001953
HTHTTHHHH,0.001953
THHTTHHHH,0.001953
HHHTTHHHH,0.001953
TTTHTHHHH,0.001953
HTTHTHHHH,0.001953
THTHTHHHH,0.001953
HHTHTHHHH,0.001953
TTHHTHHHH,0.001953
HTHHTHHHH,0.001953
THHHTHHHH,0.001953
HHHHTHHHH,0.001953
TTTTHHHHH,0.001953
HTTTHHHHH,0.001953
THTTHHHHH,0.001953
HHTTHHHHH,0.001953
TTHTHHHHH,0.001953
HTHTHHHHH,0.001953
THHTHHHHH,0.001953
